titles,category
 곰탕집 성추행    대 남성 진짜 억울하세요  그해 오늘 ,Social
신의 곁으로 떠난  축구의 신  마라도나 그해 오늘 ,Social
정은우 장편소설  국자전   제  회  오늘의 작가상 ,Culture
민음사  오늘의 작가상 에 정은우 작가  국자전 ,Culture
소설가 정은우  오늘의 작가상  수상  소설은 무능하지 않아 ,Culture
제  회 오늘의작가상에 정은우  국자전 ,Culture
강원 비 내린 뒤   일부터 영하권,Culture
변덕스런 초겨울 날씨   내일 폭우 뒤  한파경보 급 강추위,Culture
수요일부터 영하권 강추위  체감    도  한파특보 가능성,Culture
내일부터 전국에 집중호우 주중반  한파경보  강추위,Culture
삼척 흥전리 사지   사적  지정 예정,Culture
삼척 흥전리 사지  사적됐다,Culture
쉐보레 트레일블레이저    월 승용차 수출  위 달성,Culture
쉐보레 트레일블레이저    월   수출  위 등극  한국   실적      ,Culture
관광공사   일  관광산업 디지털 혁신 포럼  개최,Culture
     관광산업 디지털 혁신 포럼    일 잠실서 개최,Culture
 전국 요란한 비 곳곳 시간당        호우 날씨 ,Culture
 전국 많은 비 주 중반부터  겨울 추위  날씨 ,Culture
커피 자주 마시면 신장 결석 위험     감소  헬시타임 ,Culture
유이도 기안  도 간다 해외여행  이것 만큼은 알고 가자  헬시타임 ,Culture
     위협하는  대장암   발견율    배 높이는  이것   헬시타임 ,Culture
 대 한민국   월드컵 즐기는 집관족  혹시 지금 이 자세   헬시타임 ,Culture
 다시  제주문화      역사 문화의 현장       제주올레길을 걷다,Culture
 다시  제주문화       고통나무   대학나무  희로애락 함께한 감귤,Culture
 다시  제주문화       하마터면 영영 사라질 뻔  제주목관아 복원   년,Culture
 다시  제주문화       관덕정은 지켜봤다  제주의    년 역사를,Culture
 푸틴  즉흥적으로 변해 서방 레드라인 예상 어려움 많아     ,World
서방 제재 장기화에 에너지 수출은 감소 신음하는 러시아 경제,World
서방 제재 장기화에 에너지 수출은 감소 신음하는 러시아 경제,World
러시아 중앙은행   분기           전망    벗어날 방법이 없다 ,World
 이란 국기 이슬람 표식 지운 미 대표팀 이란 반발   핫클릭 ,World
 페임   플래시댄스  주제가 부른 아이린 카라 별세 향년   세,World
영화  페임   플래시댄스  아이린 카라 사망 향년   세,World
 페임   플래시댄스  배우 겸 가수   아이린 카라 별세 항년   세,World
베이징대 이어 칭화대도    봉쇄 반대 시위  들불 ,World
중국서 방역 불만 폭발  시진핑 공산당 물러나라 ,World
시진핑 모교 칭화대에서 수백명 코로나   봉쇄 항의 시위,World
 코로나 신규 확진자  만명 육박 곳곳에서 봉쇄 반발 시위,World
   우크라 지원 탓 대만 판매 무기 납품 지연 더 심화   위협 대응 차질,World
    우크라 무기 지원에 대만 무기 납품 지연 ,World
 러시아  자포리자 원전에서 철수 준비하는 듯 ,World
우크라전    일  러군 헤르손   차례 폭격 전력 복구 지속,World
테슬라 본사 앞에 등장한  억짜리  머스크 동상  마케팅 실패   영상 ,World
 머스크 머리를 한 염소 동상   테슬라 본사에 나타난 이유는 ,World
 피와 뼈  재일교포 최양일 감독 별세  향년   세,World
 피와 뼈  최양일 감독 별세   향년   세,World
셰브론  베네수엘라 석유 생산 재개,World
물가 급한    베네수엘라 석유 제재 완화,World
일본  전범기   카타르 월트컵서 퇴출  팀도 탈락 문턱,World
쓰레기만 치우면 뭐하나    욱일기로 축구 응원 포착 ,World
 인플레 정점은 착각  시장 놀래킬 파월의 한마디  정인설의 워싱턴나우 ,World
 최종 기준금리는 이 수준      매파  인방의 폭탄 발언  정인설의 워싱턴나우 ,World
    위원 총출동 금리 힌트 나오나  정인설의 워싱턴나우 ,World
 위기 주범은 파월  금리 급등 부메랑 맞을 미국  정인설의 워싱턴나우 ,World
      경남테크노파크와    스마트팩토리 고도화 나선다,IT
      경남 지역    스마트팩토리 고도화 나선다,IT
  유플러스  경남 중소 중견기업    스마트팩토리 고도화 이끈다,IT
      경남지역    스마트팩토리 보급 앞장,IT
 로켓 만드는데 폰 못 만들겠나     괴짜  머스크  스마트폰 내놓나,IT
머스크  선택지 없다면 대안폰 만든다   트위터 탑재  테슬라폰 ,IT
 트위터 신규 가입자 하루 평균    만명  사상 최고    년새       ,IT
머스크가 스마트폰도 만든다고  외신  가능성 낮아 ,IT
     정보보호산업 발전 기여로 과기정통부 장관상 수상,IT
주택금융공사  과기부  정보보호 대상  수상,IT
카카오표 농축수산물    만명이 샀다 누적 거래액    억 돌파,IT
카카오메이커스   제가버치  프로젝트 누적 거래액    억원 돌파,IT
달 궤도 도는 오리온 우주선  역대 가장 멀리 날았다,IT
 아르테미스  호  우주선    년 전 아폴로  보다 더 날았다,IT
    방송협회   지미콘       개최,IT
    협회   지미콘       개최 지속가능 미디어 성장 방안 모색,IT
넷마블  그랜드크로스    신작  데미스 리본 으로 게임명 확정,IT
넷마블  신작  그랜드크로스   게임명  데미스 리본 으로 확정,IT
네이버제트  안전자문위원회 발족  이용자 보호 시스템 구축 ,IT
 글로벌 수준 이용자 보호 시스템 구축  네이버제트  안전자문위원회 발족,IT
 네이버  택트  엑스퍼트 최고매출  인  억대연봉 비결은 ,IT
 네이버  택트   이것 덕분에 수익 급증   년차 블로거가 말한 비결은 ,IT
 네이버  택트   마음 감기 참지마세요  비대면 심리상담  엑스퍼트 로 해볼까,IT
 네이버  택트  빠른정산으로 안착한 제로웨이스트샵  지구살림  ,IT
이커머스에 구애하는 유튜브    장밋빛 계획  뒤 가시가 있네  홍키자의 빅테크 ,IT
 연합군 모여라      혼자서도 충분    이커머스 공룡들 난타전  홍키자의 빅테크 ,IT
 로켓의 조건  살펴보니 쿠팡이 대만 고른 이유 보이네  홍키자의 빅테크 ,IT
 쿠팡도 아직 흑자 낸 적 없잖아  이 회사는 작년에도 흑자  홍키자의 빅테크 ,IT
