titles,category
정부  화물연대에 운송개시명령 발동 준비 착수  강경 대응,Economic
    첫 여성 사장    생건 사령탑 맡는     년생  이정애  누구,Economic
구광모  미래 준비에 실행력 높여야       미래 설계  인사,Economic
       인상에 가계 대출이자    조    억 급증,Economic
베이비스텝 금융당국 권고   영끌족 숨통 트이나,Economic
보험 카드 사은품 늘어난다 경쟁 제한적 규제방안   건 확정,Economic
 렌터카 편도 반납 자유롭게  경쟁제한 규제 개선,Economic
    등  개 계열사 임원 인사    지투알    에 박애리 부사장,Economic
권봉석    부회장 유임 지투알  첫 여성     선임,Economic
동아오츠카  다음 달부터 포카리스웨트 등 제품가 평균      인상,Economic
동아오츠카  평균      가격인상 포카리스웨트        원 ,Economic
내년 성장률      경기 둔화 우려에 한은  일단 베이비스텝,Economic
한은  고물가에 통화긴축 유지  내년 경제성장률       하향 종합 ,Economic
환율      원대 하락 시도 예상      의사록  속도조절 언급 외환브리핑 ,Economic
환율      원대 하향 이탈 시도 통화긴축 완화 기대에 약달러 외환브리핑 ,Economic
  위안화  코로나 확산에 약세 환율      원대 상향 시도 외환브리핑 ,Economic
강달러    위험선호 환율      원 중심 방향성 탐색 외환브리핑 ,Economic
수원 세모녀 사건 재발 막는다   정부  위기가구 발굴 정보 확대,Social
 세 모녀 사건  더 이상 없다   정부     위기가구 지원책  발표,Social
복지사각 발굴체계 재정비    현장 뛸 인력 충원  핵심은 빠졌다,Social
정부   수원 세 모녀  사건 재발 방지책 발표,Social
선거운동기간    광고물 게시   헌재  헌법 불합치 ,Social
헌재  아동 성적 학대자의 공무원 임용  영구 제한 은 헌법불합치 ,Social
헌재  아동 성적 학대 전과자 임용 제한한 국가공무원법 고쳐야 ,Social
 아동 성적학대 전과자 임용제한  국가공무원법 헌법불합치,Social
이혼한 성전환자 미성년 자녀 있어도  성별 변경 허락 ,Social
대법  미성년 자녀 있더라도    성전환 부모  성별 정정 가능 ,Social
대법  혼인 중 아닌 성전환자 미성년 자녀 있어도 성별정정 가능  판례 변경,Social
 아빠 가  엄마 됐다 미성년자녀 둔 성전환자  성별 변경  허용  가족의자격 ,Social
정진상 구속적부심  시간 만에 종료   시간 내 결론 종합 ,Social
정진상 구속적부심 시작 내일 결론 전망,Social
   최측근  정진상 적부심 기각  법원  구속 유지 ,Social
 단독 검찰  유동규 진술 부합하는 핵심 물증 다수 확보 ,Social
         치킨전쟁   심         억 돌려받는다 ,Social
 치킨전쟁           상대 민사소송  심도 승소 배상액은 급감,Social
오월단체  유공자 명단 까자던 홍준표의     묘지 참배 반대 ,Social
홍준표  광주 대구  달빛동맹  제안에     단체  유공자 명단 공개 사과부터 ,Social
경찰     신고 자동 전파 앱 도입 부실 보고 뿌리 뽑는다,Social
경찰     신고 앱으로 자동전파 늑장보고 방지 종합 ,Social
한총리  코로나  가 백신 추가접종 어르신 참여 독려,Social
신규확진  만 여명 백신 접종 간격     일   일  단축,Social
부산시  세계 스마트도시 평가   위  세계 최고 상승률 ,Social
부산시  세계 스마트도시 평가   위 국내 도시 중  위에 올라,Social
특수본   정보 보고서  삭제 지시 의혹 경무관 첫 소환,Social
전 서울청 정보부장 소환 조사   이임재  특수본 재출석,Social
 년  김치통  방치   개월 딸 시신 머리에 구멍  학대여부 수사 중 ,Social
숨진   개월 딸 시신  년간 숨긴 부모   양육수당까지 받아,Social
 서해 공무원 피격  서훈 전 국가안보실장 검찰 소환,Social
검찰   서해 공무원 피격  서훈  국가안보실장 소환 종합 ,Social
헌재  지방의원 후원회 금지한 정치자금법 개정해야 ,Social
  보  헌재  아동 성학대 전과자 공무원 영구 임용제한 부당 ,Social
 강제추행  추가 기소  박사방  조주빈 강훈 각각 징역  개월 추가,Social
조주빈   강제추행  추가 재판서  징역  개월   이미 징역   년 확정 ,Social
 투기 의혹  등 논란 서경석 전북개발공사 사장  주만에 사퇴,Social
공공 개발 수장  부적격   자진사퇴론  비등,Social
 세 모자 살해 혐의    대 남편  국민참여재판 신청,Social
 광명 세모자 살해    대 가장  국민참여재판 신청 내일 심리 예정,Social
 동앵과 뉴스터디 캐나다로 간 윤지오  안 잡나  못 잡나 ,Social
 동앵과 뉴스터디 이재명과 선거자금  부  대선 경선,Social
 동앵과 뉴스터디 이재명과 선거자금  부  성남시장 재선,Social
 동앵과 뉴스터디 주인 잃은  풍산개   반환  파양 ,Social
포니 쿠페   년만에 세상 나온다  포니 생산은 기적 같은 일  종합 ,Culture
현대차  포니 원형 그대로 복원 결정 포니 디자이너  현대차 유산 복원 영광 ,Culture
 정주영  이탈리아 찾아와 디자인 부탁     거장이 밝힌  포니  뒷얘기,Culture
 포니 쿠페 의 귀환  복원하려고   년 전 디자이너도 불렀다,Culture
이순신 최후 순간 담은 류성룡의 달력 일본서 환수,Culture
류성룡이 쓰던  유성룡비망기입대통력  귀환,Culture
서애 류성룡이 쓰던 달력  일본에서 환수  이순신 최후의 순간  담겨,Culture
 대장  가벼이 하시면 안 됩니다    자에 담긴 충무공의 마지막,Culture
   교향악단    클래식 열풍 이어간다 내년 시즌 라인업 공개,Culture
거장부터 슈퍼 신예까지     교향악단 내년 시즌 공개,Culture
    진  다음 달   일 최전방 신병교육대로 입대,Culture
     맏형 진    월   일 전방 사단 신병교육대로 입대,Culture
전국 맑고 일교차 커 수도권 미세먼지  나쁨 ,Culture
 출근길 내륙 짙은 안개 서쪽 미세먼지 나쁨 날씨 ,Culture
다음주 중반  한파  온다 내일 밤사이 비 내린 뒤 주말도 반짝 추위,Culture
다음 주 초 흐리고 비온 뒤 영하권  강추위 ,Culture
 강수연 박찬욱  대중문화예술상 은관문화훈장 수훈,Culture
박찬욱 감독과 고 강수연 배우  은관문화훈장 받는다,Culture
선원들의 수익 분배 김창일의 갯마을 탐구     ,Culture
원시어업 죽방렴의 가치 김창일의 갯마을 탐구     ,Culture
횟집에서 수족관을 확인하는 이유 김창일의 갯마을 탐구     ,Culture
집 나간 명태의 귀환을 바라며 김창일의 갯마을 탐구     ,Culture
 최기성의 허브   모르면 수리비 폭탄  목숨까지 노린다,Culture
 최기성의 허브   눈 내리면 늦으리 겨울철  고장 예방,Culture
 최기성의 허브  귀신보다 무섭다 사람 잡는  스텔스  차량 자전거,Culture
 최기성의 허브  중고차 살 땐 비싸더니 팔 땐  추풍낙엽 ,Culture
우크라이나 전역에 공습경보  여러 지역에서 폭발 일어나 ,World
러 미사일   발 발사 우크라이나 전 지역 정전 발생,World
러  우크라 에너지 시설 또 노려 대규모 공습에 최소   명 사망,World
러시아 미사일 공습 재개 우크라이나 전역에 경보 발령,World
 우주는 만인의 공간  인류 첫 장애인 우주비행사 탄생 우주다방 ,World
인류 최초 장애인 우주비행사 탄생  다리 절단 땐 생각 못했던 일 ,World
첫 장애인 우주비행사 탄생  눈앞 ,World
유럽우주국  세계 최초로 장애인 우주 비행사 선발,World
젤렌스키 측근  푸틴  헤르손 철수 후 생명위협 느낄만큼 불안 ,World
 영상   푸틴  헤르손 철수 후 생명 위협 느낄 만큼 타격 패하면 종말 ,World
젤렌스키 측근  푸틴  헤르손 철수 후 생명 위협 느낄 만큼 불안 ,World
 푸틴  생명위협 느낄 만큼 떨고 있다  헤르손 내준 러시아는 지금,World
  세계  대 불가사의  피라미드 밟고 춤춘 관광객의 최후      ,World
멕시코 피라미드에 무단침입한  관광객  춤추다 뭇매맞어,World
 마하티르와 악연  안와르 전 부총리  말레이 총리 임명돼 상보 ,World
 총선 이후가 더 시끄럽네    연정 구성 난항에 말레이 정치 혼란,World
 월급 인상  약속하더니 감감   아이폰 공장 노동자들 폭발했다 영상 ,World
확진자 폭발한     조여진 방역에 성난 민심 최고조,World
봉쇄 또 봉쇄 코로나 비상 베이징  고강도 방역 유턴,World
꽁꽁 봉쇄해도 감염자 급증  최악 코로나 상황 맞은 베이징,World
  워싱턴   에   민간 드론 수백대 출몰 우려 고조,World
워싱턴   비행통제구역에 중국산 드론    대 출몰 스파이 활동 경계,World
일본  내년부터  년간  디지털 엔  실증실험,World
일본은행   디지털 엔화  실증실험 준비     년쯤 발행 여부 판단,World
에르도안  시리아 북부 쿠르드 지역 지상침공 다짐,World
튀르키예  쿠르드 세력    개 목표물 타격    명 무력화 ,World
 기업 대만 투자  세금장벽  걷혔다,World
대만 국방부   군함  대만 동부해역서 대잠수함전 훈련 ,World
기시다  선거비  백지 영수증  논란에 일부 책임 인정,World
  기시다  선거  백지 영수증  논란에  일부 불충분 인정 ,World
 굿모닝월드  굿바이  쿠바의 음유시인 ,World
 굿모닝월드  목소리를 전해주는 인형,World
 굿모닝월드  세계 브레이킹 대회,World
 굿모닝월드  유니폼 입은 아기 예수,World
  헬로비전      년 정기 임원 인사 시행,IT
  헬로비전  상무  명 승진 온라인마케팅 사업협력 전략기획 분야,IT
  헬로비전      년 임원인사 단행 손기영 등  명 상무 승진,IT
  헬로비전      년 임원인사 손기영 임성원 홍원덕 상무 승진,IT
       새 수장에    현장 전문가 현신균 부사장,IT
        신임 대표이사에 현신균 부사장 선임 기술 인재 대거 발탁,IT
        년만에     교체 신임 대표에 현신균 부사장,IT
        현신균 부사장 대표이사로 선임  디지털 전환 선도 ,IT
  유플러스      년 임원인사 권준혁 네트워크부문장 부사장 승진,IT
         년 임원 인사 단행 부사장  명 승진 상무  명 선임,IT
     게임 결제 커머스 등 원천은 기술  클라우드    통한다    돋보기 ,IT
기술 컨퍼런스      포워드  개최  지식 공유의 장  후끈,IT
불법 유해정보 막으려면  규제보다 빅테크의 자발적 노력 우선 ,IT
 구글    시간 쉬지 않고 콘텐츠 모니터링  이태원 참사 ,IT
택시엔 보험료  대리엔 소액대출 상생 나선 모빌리티업계,IT
카카오모빌리티  택시 기사 의료 생계 지원  상생 기금 운용 시작,IT
무협   한 캐나다 비즈니스 라운드테이블  개최 전략적 파트너십 논의,IT
업스테이지  캐나다 혁신과학경제개발부 장관 대담  글로벌    진출 ,IT
  헬로비전  홈 보안  진출,IT
  헬로  에스원 손잡고 홈보안 시장 진출 내년  홈도어캠  출시,IT
   클로즈업     다각화 중심축  게임   종합 엔터 산업으로,IT
   클로즈업  통신 사  서로 달랐던     전략     는 ,IT
   클로즈업  넷플릭스  삼성 현대 광고 또 잡을 수 있을까 ,IT
유럽 반도체 업계     거래 중단 없어        반도체 견제  동상이몽     클로즈업 ,IT
 지금은 과학  특수화재  불끄는 얼음 으로 잡는다,IT
 지금은 과학  입는     로 소아 황달 치료한다,IT
 지금은 과학  악성 뇌종양 탐지 대식세포 발견 새로운 면역치료 가능,IT
 지금은 과학  녹고 있는 빙하를 다시 얼릴 수 있을까 ,IT
